,title,artist,release,metascore,userscore
3140,The Return Of Dr. Octagon,by Dr. Octagon,"June 27, 2006",61,7.4
3141,IV Play,by The-Dream,"May 28, 2013",62,7.4
3142,Lord Steppington,by Step Brothers,"January 21, 2014",79,7.4
3143,Kamikaze,by Twista,"January 27, 2004",66,7.4
3144,Blaqkout,by DJ Quik & Kurupt,"June 9, 2009",83,7.4
3145,Rule 3:36,by Ja Rule,"October 3, 2000",56,7.4
3146,Gravitas,by Talib Kweli,"February 18, 2014",73,7.4
3147,The Ecleftic 2 Sides II a Book,by Wyclef Jean,"August 22, 2000",67,7.4
3148,Deep Down & Dirty,by Stereo MC's,"June 12, 2001",68,7.4
3149,Eleventh Hour,by Del the Funky Homosapien,"March 11, 2008",69,7.4
3150,Come to Life,by Cities Aviv,"January 28, 2014",78,7.4
3151,Pink Friday: Roman Reloaded--the Re-Up,by Nicki Minaj,"November 19, 2012",72,7.3
3152,Government Plates,by Death Grips,"November 13, 2013",75,7.3
3153,The Adventures Of Bobby Ray,by B.o.B,"April 27, 2010",67,7.3
3154,Always Strive and Prosper,by A$AP Ferg,"April 22, 2016",74,7.3
3155,Black America Again,by Common,"November 4, 2016",88,7.3
3156,In My Mind,by Pharrell Williams,"July 25, 2006",52,7.3
3157,Rap Or Go To The League,by 2 Chainz,"March 1, 2019",82,7.3
3158,Fashion Week,by Death Grips,"January 4, 2015",74,7.3
3159,R&G (Rhythm & Gangsta): The Masterpiece,by Snoop Dogg,"November 16, 2004",63,7.3
3160,Release Therapy,by Ludacris,"September 26, 2006",60,7.3
3161,Majid Jordan,by Majid Jordan,"February 5, 2016",69,7.3
3162,Every Hero Needs a Villain,by Czarface,"June 16, 2015",79,7.3
3163,BOOMIVERSE,by Big Boi,"June 16, 2017",70,7.3
3164,Blood Money,by Mobb Deep,"May 2, 2006",55,7.3
3165,Wake Up!,by The Roots,"September 21, 2010",77,7.3
3166,DropTopWop [Mixtape],by Gucci Mane,"May 26, 2017",72,7.3
3167,Rolling Papers 2,by Wiz Khalifa,"July 13, 2018",56,7.3
3168,Pilot Talk III,by Curren$y,"April 4, 2015",78,7.3
3169,Tha Last Meal,by Snoop Dogg,"December 19, 2000",65,7.3
3170,Lizzobangers,by Lizzo,"October 15, 2013",85,7.3
3171,ARIZONA BABY,by Kevin Abstract,"April 25, 2019",76,7.3
3172,Nehruviandoom,by Nehruviandoom,"October 7, 2014",67,7.3
3173,"And After That, We Didn't Talk",by GoldLink,"November 6, 2015",72,7.3
3174,All the Beauty in This Whole Life,by Brother Ali,"May 5, 2017",80,7.3
3175,Moh Lhean,by Why?,"March 3, 2017",76,7.3
3176,The  Appeal: Georgia's Most Wanted,by Gucci Mane,"September 28, 2010",64,7.3
3177,So Stylistic,by Fannypack,"July 8, 2003",78,7.3
3178,The Solution,by Beanie Sigel,"December 11, 2007",72,7.3
3179,In The City,by Kevin Rudolf,"November 24, 2008",53,7.3
3180,Express Yourself [EP],by Diplo,"June 12, 2012",68,7.3
3181,Made In Brooklyn,by Masta Killa,"August 8, 2006",66,7.3
3182,Selling Live Water,by Sole,"January 21, 2003",77,7.3
3183,Kool Herc: Fertile Crescent [EP],by Homeboy Sandman,"May 14, 2013",85,7.3
3184,Netflix & Deal [Mixtape],by 03 Greedo,"November 22, 2019",67,7.3
3185,Born Sinner,by J. Cole,"June 18, 2013",71,7.2
3186,Tha Carter III,by Lil Wayne,"June 10, 2008",84,7.2
3187,Goblin,"by Tyler, The Creator","May 10, 2011",72,7.2
3188,The Blueprint 3,by Jay-Z,"September 8, 2009",65,7.2
3189,Dark Sky Paradise,by Big Sean,"February 24, 2015",72,7.2
3190,Syre,by Jaden Smith,"November 17, 2017",69,7.2
3191,"Food & Liquor, Vol. 2: the Great American Rap Album, Pt. 1",by Lupe Fiasco,"September 25, 2012",70,7.2
3192,Trap Lord,by A$AP Ferg,"August 20, 2013",72,7.2
3193,Without Warning,by 21 Savage,"October 31, 2017",78,7.2
3194,Dreams Worth More Than Money,by Meek Mill,"June 29, 2015",74,7.2
3195,The R.E.D. Album,by Game,"August 23, 2011",61,7.2
3196,PartyNextDoor Two,by PartyNextDoor,"July 29, 2014",46,7.2
3197,The Inspiration,by Young Jeezy,"December 12, 2006",70,7.2
3198,Everybody's Everything,by Lil Peep,"November 15, 2019",70,7.2
3199,The Hardest Way To Make An Easy Living,by The Streets,"April 25, 2006",72,7.2
3200,Last Train to Paris,by Diddy,"December 14, 2010",75,7.2
3201,32 Levels,by Clams Casino,"July 15, 2016",76,7.2
3202,Powerballin',by Chingy,"November 16, 2004",59,7.2
3203,4REAL 4REAL,by YG,"May 24, 2019",70,7.2
3204,Quazarz vs. The Jealous Machines,by Shabazz Palaces,"July 14, 2017",77,7.2
3205,Magnificent City,by Aceyalone,"February 7, 2006",81,7.2
3206,The  Return of Mr. Zone 6,by Gucci Mane,"March 22, 2011",65,7.2
3207,The DEFinition,by LL Cool J,"August 31, 2004",66,7.2
3208,4:21 ... The Day After,by Method Man,"August 29, 2006",65,7.2
3209,The Circle in the Square,by Flobots,"August 28, 2012",66,7.2
3210,Negrophilia: The Album,by Mike Ladd,"February 8, 2005",73,7.2
3211,From the Corner to the Block,by Galactic,"August 21, 2007",69,7.2
3212,Speech Therapy,by Speech Debelle,"August 18, 2009",77,7.2
3213,The  Earn,by Yu,"December 13, 2011",86,7.2
3214,God of the Serengeti,by Vinnie Paz,"October 23, 2012",72,7.2
3215,Everything is Love,by The Carters,"June 16, 2018",80,7.1
3216,Pink Friday,by Nicki Minaj,"November 22, 2010",68,7.1
3217,Eternal Atake,by Lil Uzi Vert,"March 6, 2020",84,7.1
3218,I Decided.,by Big Sean,"February 3, 2017",67,7.1
3219,YSIV,by Logic,"September 28, 2018",71,7.1
3220,When It's Dark Out,by G-Eazy,"December 4, 2015",74,7.1
3221,T.I. Vs T.I.P.,by T.I.,"July 3, 2007",61,7.1
3222,The  Gifted,by Wale,"June 25, 2013",65,7.1
3223,WZRD,by WZRD,"February 28, 2012",50,7.1
3224,The History of Rock,by Kid Rock,"May 30, 2000",64,7.1
3225,Mudboy,by Sheck Wes,"October 5, 2018",76,7.1
3226,Demonstration,by Tinie Tempah,"November 4, 2013",68,7.1
3227,Street Sweeper Social Club,by Street Sweeper Social Club,"June 16, 2009",56,7.1
3228,Suit,by Nelly,"September 14, 2004",62,7.1
3229,The  Mountain Will Fall,by DJ Shadow,"June 24, 2016",66,7.1
3230,"Meet the Woo, Vol. 2 [Mixtape]",by Pop Smoke,"February 7, 2020",75,7.1
3231,Prisoner of Conscious,by Talib Kweli,"May 7, 2013",65,7.1
3232,The Loneliest Punk,by Fatlip,"November 1, 2005",75,7.1
3233,The Quilt,by Gym Class Heroes,"September 9, 2008",69,7.1
3234,Rise Up,by Cypress Hill,"April 20, 2010",56,7.1
3235,The Day After,by Twista,"October 4, 2005",69,7.1
3236,Mo'Mega,by Mr. Lif,"June 13, 2006",75,7.1
3237,Sweat,by Nelly,"September 14, 2004",67,7.1
3238,Dark Days + Canapés,by Ghostpoet,"August 18, 2017",79,7.1
3239,Pressure,by Jeezy,"December 15, 2017",66,7.1
3240,Let Love,by Common,"August 30, 2019",70,7.1
3241,Ye,by Kanye West,"June 1, 2018",64,7.0
3242,Love Story,by Yelawolf,"April 21, 2015",64,7.0
3243,Before I Self Destruct,by 50 Cent,"November 16, 2009",62,7.0
3244,Luv Is Rage 2,by Lil Uzi Vert,"August 25, 2017",75,7.0
3245,HNDRXX,by Future,"February 24, 2017",78,7.0
3246,These Days...,by Ab-Soul,"June 24, 2014",70,7.0
3247,Pretty Girls Like Trap Music,by 2 Chainz,"June 16, 2017",82,7.0
3248,SremmLife 2,by Rae Sremmurd,"August 12, 2016",75,7.0
3249,Major Key,by DJ Khaled,"July 29, 2016",67,7.0
3250,Trouble Man: Heavy Is the Head,by T.I.,"December 18, 2012",64,7.0
3251,Teflon Don,by Rick Ross,"July 20, 2010",79,7.0
3252,Rather You Than Me,by Rick Ross,"March 17, 2017",71,7.0
3253,Flockaveli,by Waka Flocka Flame,"October 5, 2010",75,7.0
3254,Everythang's Corrupt,by Ice Cube,"December 7, 2018",79,7.0
3255,Asleep In The Bread Aisle,by Asher Roth,"April 21, 2009",56,7.0
3256,Face Off,by Bow Wow & Omarion,"December 11, 2007",67,7.0
3257,Bazooka Tooth,by Aesop Rock,"September 23, 2003",74,7.0
3258,Super Slimey [Mixtape],by Future,"October 20, 2017",66,7.0
3259,Big Grams [EP],by Big Grams,"September 25, 2015",61,7.0
3260,Woptober,by Gucci Mane,"October 14, 2016",69,7.0
3261,Reloaded,by Roc Marciano,"November 13, 2012",83,7.0
3262,Church in These Streets,by Jeezy,"November 13, 2015",69,7.0
3263,Judgement Days,by Ms. Dynamite,"October 3, 2005",59,7.0
3264,Expektoration (Live),by MF Doom,"September 14, 2010",61,7.0
3265,YOUTH,by Tinie Tempah,"April 14, 2017",70,7.0
3266,Heterocetera [EP],by Lotic,"March 3, 2015",84,7.0
3267,Ultraviolet,by Kid Sister,"November 17, 2009",70,7.0
3268,Packs,by Your Old Droog,"March 10, 2017",81,7.0
3269,The  World Is Yours 2,by Rich the Kid,"March 22, 2019",67,7.0
3270,Survival Skills,by KRS-One & Buckshot,"September 15, 2009",67,7.0
3271,Don't Smoke Rock,by Smoke DZA,"December 2, 2016",81,7.0
3272,Ghostface Killahs,by Ghostface Killah,"September 6, 2019",71,7.0
3273,Shady XV,by Eminem,"November 24, 2014",61,6.9
3274,Satellite Flight: The Journey to Mother Moon,by Kid Cudi,"February 25, 2014",60,6.9
3275,The Blueprint 2: The Gift & the Curse,by Jay-Z,"November 12, 2002",64,6.9
3276,CrasH Talk,by ScHoolboy Q,"April 26, 2019",69,6.9
3277,Father Of 4,by Offset,"February 22, 2019",72,6.9
3278,Timbaland Presents Shock Value,by Timbaland,"April 3, 2007",54,6.9
3279,Somethin' 'Bout Kreay,by Kreayshawn,"September 17, 2012",42,6.9
3280,Paperwork,by T.I.,"October 21, 2014",69,6.9
3281,I'm Up [Mixtape],by Young Thug,"February 5, 2016",76,6.9
3282,T.O.S. (Terminate On Sight),by G-Unit,"July 1, 2008",45,6.9
3283,Ambition,by Wale,"November 1, 2011",69,6.9
3284,Stay Trippy,by Juicy J,"August 27, 2013",66,6.9
3285,Still Striving [Mixtape],by A$AP Ferg,"August 25, 2017",65,6.9
3286,Bridging the Gap,by The Black Eyed Peas,"September 26, 2000",74,6.9
3287,Trials & Tribulations,by Ace Hood,"July 16, 2013",69,6.9
3288,Raskit,by Dizzee Rascal,"July 21, 2017",78,6.9
3289,Empire: Original Soundtrack from Season 1,by Empire Cast,"March 10, 2015",61,6.9
3290,MMM [Mixtape],by Puff Daddy,"November 4, 2015",69,6.9
3291,Blade of the Ronin,by Cannibal Ox,"March 3, 2015",71,6.9
3292,Directors of Photography,by Dilated Peoples,"August 12, 2014",75,6.9
3293,Purple Naked Ladies,by The Internet,"January 31, 2012",55,6.9
3294,Mykki,by Mykki Blanco,"September 16, 2016",77,6.9
3295,Beastmode 2 [Mixtape],by Future,"July 6, 2018",77,6.9
3296,Plain Rap,by The Pharcyde,"November 7, 2000",65,6.9
3297,Revenue Retrievin': Day Shift,by E-40,"March 30, 2010",77,6.9
3298,Apocalypse Soon [EP],by Major Lazer,"March 4, 2014",68,6.9
3299,More Life [Mixtape],by Drake,"March 18, 2017",79,6.8
3300,Thank Me Later,by Drake,"June 15, 2010",75,6.8
3301,Mastermind,by Rick Ross,"March 4, 2014",68,6.8
3302,D12 World,by D12,"April 27, 2004",58,6.8
3303,Stay Dangerous,by YG,"August 3, 2018",71,6.8
3304,Fly International Luxurious Art,by Raekwon,"April 28, 2015",63,6.8
3305,The Big Bang,by Busta Rhymes,"June 13, 2006",64,6.8
3306,Black Market,by Rick Ross,"December 4, 2015",61,6.8
3307,Coolaid,by Snoop Dogg,"July 15, 2016",68,6.8
3308,Nothing,by N.E.R.D,"November 2, 2010",62,6.8
3309,True Magic [First Version],by Mos Def,"December 29, 2006",45,6.8
3310,Everything Is Borrowed,by The Streets,"October 7, 2008",63,6.8
3311,Touch Down 2 Cause Hell,by Boosie Badazz,"May 26, 2015",74,6.8
3312,Trap House 3,by Gucci Mane,"May 21, 2013",61,6.8
3313,One of the Best Yet,by Gang Starr,"November 15, 2019",71,6.8
3314,Riot Boi,by Le1f,"November 13, 2015",78,6.8
3315,Genesis,by Domo Genesis,"March 25, 2016",70,6.8
3316,Port of Miami 2,by Rick Ross,"August 9, 2019",67,6.8
3317,Black Radio 2,by Robert Glasper Experiment,"October 29, 2013",71,6.8
3318,"Trinity (Past, Present and Future)",by Slum Village,"August 13, 2002",59,6.8
3319,Brass Knuckles,by Nelly,"September 16, 2008",61,6.8
3320,It Ain't Safe No More,by Busta Rhymes,"November 26, 2002",65,6.8
3321,G.O.A.T. Featuring James T. Smith: The Greatest of All Time,by LL Cool J,"August 22, 2000",73,6.8
3322,The Charm,by Bubba Sparxxx,"April 4, 2006",66,6.8
3323,I Am,by Yo Gotti,"November 19, 2013",64,6.8
3324,Indicud,by Kid Cudi,"April 16, 2013",58,6.7
3325,SremmLife,by Rae Sremmurd,"January 6, 2015",78,6.7
3326,Please Excuse Me for Being AntiSocial,by Roddy Ricch,"December 6, 2019",72,6.7
3327,Ludaversal,by Ludacris,"March 31, 2015",63,6.7
3328,A Better Tomorrow,by Wu-Tang Clan,"December 2, 2014",60,6.7
3329,ERYS,by Jaden,"July 5, 2019",58,6.7
3330,KIRK,by DaBaby,"September 27, 2019",74,6.7
3331,"Maybach Music Group Presents: Self Made, Vol. 2",by Various Artists,"June 26, 2012",70,6.7
3332,Amerikaz Nightmare,by Mobb Deep,"August 10, 2004",63,6.7
3333,The  Roaring 20s,by Rizzle Kicks,"September 2, 2013",67,6.7
3334,Todd Smith,by LL Cool J,"April 11, 2006",51,6.7
3335,MC4 [Mixtape],by French Montana,"November 5, 2016",67,6.7
3336,Insomnia,by Skepta/Chip/Young Adz,"March 27, 2020",82,6.7
3337,Pluto x Baby Pluto,by Future,"November 13, 2020",67,6.7
3338,Neighborhood Watch,by Dilated Peoples,"April 6, 2004",62,6.7
3339,Good News,by Megan Thee Stallion,"November 20, 2020",85,6.6
3340,Shoot For The Stars Aim For The Moon,by Pop Smoke,"July 3, 2020",70,6.6
3341,Neon Icon,by RiFF RAFF,"June 24, 2014",61,6.6
3342,Battle Of The Sexes,by Ludacris,"March 9, 2010",68,6.6
3343,Trilla,by Rick Ross,"March 11, 2008",60,6.6
3344,Jigsaw,by Lady Sovereign,"April 7, 2009",57,6.6
3345,Oaklandazulasylum,by Why?,"June 24, 2003",70,6.6
3346,Everybody,by Logic,"May 5, 2017",65,6.5
3347,VH1 Storytellers,by Kanye West,"January 5, 2010",66,6.5
3348,Drogas Light,by Lupe Fiasco,"February 10, 2017",56,6.5
3349,Oasis,by J Balvin,"June 28, 2019",79,6.5
3350,Good for You,by Aminé,"July 28, 2017",77,6.5
3351,Mac and Devin Go to High School [Original Motion Picture Soundtrack],by Snoop Dogg,"December 13, 2011",68,6.5
3352,The Last Rocket,by Takeoff,"November 2, 2018",82,6.5
3353,Wave(s) [EP],by Mick Jenkins,"August 21, 2015",77,6.5
3354,Tical 0: The Prequel,by Method Man,"May 18, 2004",51,6.5
3355,Libra Scale,by Ne-Yo,"November 22, 2010",73,6.5
3356,USA (United State Of Atlanta),by Ying Yang Twins,"June 28, 2005",76,6.5
3357,Timeless,by Sergio Mendes,"February 14, 2006",60,6.5
3358,Eat Pray Thug,by Heems,"March 10, 2015",76,6.5
3359,Skilled Mechanics,by Tricky,"January 22, 2016",68,6.5
3360,Armed To The Teeth,by Swollen Members,"October 27, 2009",62,6.5
3361,"The Block Brochure: Welcome to the Soil, Pt. 1",by E-40,"March 26, 2012",78,6.5
3362,"The Block Brochure: Welcome to the Soil, Pt. 3",by E-40,"March 26, 2012",76,6.5
3363,Everything Sucks,by Princess Nokia,"February 26, 2020",74,6.5
3364,The  New Classic,by Iggy Azalea,"April 22, 2014",56,6.4
3365,Cherry Bomb,"by Tyler, The Creator","April 14, 2015",69,6.4
3366,Beerbongs & Bentleys,by Post Malone,"April 27, 2018",51,6.4
3367,Kingdom Come,by Jay-Z,"November 21, 2006",67,6.4
3368,Honest,by Future,"April 22, 2014",80,6.4
3369,Future,by Future,"February 17, 2017",67,6.4
3370,So Far Gone [EP],by Drake,"September 15, 2009",76,6.4
3371,Gemini,by Macklemore,"September 22, 2017",63,6.4
3372,Dreams and Nightmares,by Meek Mill,"October 30, 2012",69,6.4
3373,No Mercy,by T.I.,"December 7, 2010",59,6.4
3374,Iconology [EP],by Missy Elliott,"August 23, 2019",73,6.4
3375,Blood In My Eye,by Ja Rule,"November 4, 2003",45,6.4
3376,Rotten Apple,by Lloyd Banks,"October 10, 2006",51,6.4
3377,Doggumentary,by Snoop Dogg,"March 29, 2011",58,6.4
3378,Encore,by DJ Snake,"August 5, 2016",62,6.4
3379,Pain Is Love,by Ja Rule,"October 2, 2001",59,6.4
3380,Snoop Dogg Presents Bible of Love,by Snoop Dogg,"March 16, 2018",54,6.4
3381,Plata o Plomo,by Fat Joe,"February 17, 2017",66,6.4
3382,Revival,by Eminem,"December 15, 2017",50,6.3
3383,Pink Friday: Roman Reloaded,by Nicki Minaj,"April 3, 2012",60,6.3
3384,Barter 6,by Young Thug,"April 16, 2015",72,6.3
3385,What A Time To Be Alive [Mixtape],by Drake & Future,"September 20, 2015",70,6.3
3386,Hall of Fame,by Big Sean,"August 27, 2013",72,6.3
3387,Radioactive,by Yelawolf,"November 21, 2011",62,6.3
3388,SR3MM,by Rae Sremmurd,"May 4, 2018",76,6.3
3389,Rock N Roll Jesus,by Kid Rock,"October 9, 2007",62,6.3
3390,Year Of The Dog... Again,by DMX,"August 1, 2006",60,6.3
3391,Thr33 Ringz,by T-Pain,"November 11, 2008",71,6.3
3392,Jungle Rules,by French Montana,"July 14, 2017",68,6.3
3393,Ferrari Boyz,by Gucci Mane,"August 9, 2011",57,6.3
3394,Brooklyn's Don Diva,by Foxy Brown,"May 13, 2008",47,6.3
3395,Da Realist,by Plies,"December 16, 2008",63,6.3
3396,No More Heroes,by Solillaquists Of Sound,"August 4, 2009",83,6.3
3397,"The Block Brochure: Welcome to the Soil, Pt. 2",by E-40,"March 26, 2012",68,6.3
3398,Reduxer,by Alt-J,"September 28, 2018",66,6.3
3399,The E.N.D.,by The Black Eyed Peas,"June 9, 2009",60,6.2
3400,This Unruly Mess I've Made,by Macklemore & Ryan Lewis,"February 26, 2016",59,6.2
3401,Funeral,by Lil Wayne,"January 31, 2020",62,6.2
3402,Death Race for Love,by Juice WRLD,"March 8, 2019",61,6.2
3403,FEET OF CLAY,by Earl Sweatshirt,"November 1, 2019",79,6.2
3404,Pluto,by Future,"April 17, 2012",68,6.2
3405,Malice N Wonderland,by Snoop Dogg,"December 8, 2009",61,6.2
3406,Mr. Davis,by Gucci Mane,"October 13, 2017",77,6.2
3407,Yung Rich Nation,by Migos,"July 31, 2015",67,6.2
3408,Cocky,by Kid Rock,"November 20, 2001",57,6.2
3409,Living Legend,by Gunplay,"July 31, 2015",68,6.2
3410,Remember Me,by Sage the Gemini,"March 25, 2014",69,6.2
3411,The Bridge: Concept of a Culture,by Grandmaster Flash,"March 3, 2009",50,6.2
3412,EVOL,by Future,"February 6, 2016",68,6.1
3413,Finally Famous,by Big Sean,"June 28, 2011",69,6.1
3414,"Huncho Jack, Jack Huncho",by Huncho Jack,"December 21, 2017",66,6.1
3415,"God Forgives, I Don't",by Rick Ross,"July 31, 2012",70,6.1
3416,The Beautiful & Damned,by G-Eazy,"December 15, 2017",59,6.1
3417,Future Hndrxx Presents: The WIZRD,by Future,"January 18, 2019",70,6.1
3418,Shock Value II,by Timbaland,"December 8, 2009",50,6.1
3419,I'm Gay (I'm Happy),by Lil B,"June 29, 2011",73,6.1
3420,Wins and Losses,by Meek Mill,"July 21, 2017",72,6.1
3421,The Seventh Seal,by Rakim,"November 17, 2009",59,6.1
3422,Slime Language,by Young Thug,"August 17, 2018",68,6.1
3423,WUNNA,by Gunna,"May 22, 2020",67,6.1
3424,AJ Tracey,by AJ Tracey,"February 8, 2019",81,6.1
3425,Definition Of Real,by Plies,"June 10, 2008",59,6.1
3426,Magna Carta Holy Grail,by Jay-Z,"July 4, 2013",60,6.0
3427,Lasers,by Lupe Fiasco,"March 8, 2011",57,6.0
3428,Animal Ambition: An Untamed Desire to Win,by 50 Cent,"June 3, 2014",53,6.0
3429,Bloom,by Machine Gun Kelly,"May 12, 2017",72,6.0
3430,Public Warning,by Lady Sovereign,"October 31, 2006",67,6.0
3431,Translation,by The Black Eyed Peas,"June 19, 2020",63,6.0
3432,VYP: Voice of the Young People,by Lil' Mama,"April 29, 2008",71,6.0
3433,Trap or Die 3,by Jeezy,"October 28, 2016",70,6.0
3434,10,by LL Cool J,"October 15, 2002",60,6.0
3435,Can I Keep This Pen?,by Northern State,"August 28, 2007",67,6.0
3436,Mr. Brown,by Sleepy Brown,"October 3, 2006",59,6.0
3437,Sorry 4 The Wait 2 [Mixtape],by Lil Wayne,"January 20, 2015",60,5.9
3438,SAVE ME [EP],by Future,"June 7, 2019",63,5.9
3439,Rubba Band Business: The Album,by Juicy J,"December 8, 2017",59,5.9
3440,Rolling Papers,by Wiz Khalifa,"March 29, 2011",59,5.8
3441,Blue Slide Park,by Mac Miller,"November 8, 2011",58,5.8
3442,Ten$ion,by Die Antwoord,"February 7, 2012",57,5.8
3443,JACKBOYS [EP],by Travis Scott,"December 27, 2019",63,5.8
3444,Feedback,by Jurassic 5,"July 25, 2006",57,5.8
3445,"Cozy Tapes, Vol. 2: Too Cozy",by A$AP Mob,"August 25, 2017",70,5.8
3446,Universal Mind Control,by Common,"December 9, 2008",53,5.8
3447,Rise of an Empire,by Young Money,"March 11, 2014",55,5.8
3448,Universal Pulse,by 311,"July 19, 2011",57,5.8
3449,Napalm,by Xzibit,"October 9, 2012",66,5.8
3450,Big Bad,by Giggs,"February 22, 2019",82,5.8
3451,End It All,by Beans,"February 15, 2011",68,5.8
3452,Invasion of Privacy,by Cardi B,"April 6, 2018",84,5.7
3453,VIEWS,by Drake,"April 29, 2016",69,5.7
3454,10 Summers,by DJ Mustard,"August 25, 2014",74,5.7
3455,Sorry 4 the Wait,by Lil Wayne,"July 13, 2011",65,5.6
3456,Lace Up,by MGK,"October 9, 2012",69,5.6
3457,My Turn,by Lil Baby,"February 28, 2020",66,5.6
3458,I Changed a Lot,by DJ Khaled,"October 23, 2015",63,5.6
3459,Chemical Warfare,by The Alchemist,"July 7, 2009",83,5.6
3460,No Love Lost,by Joe Budden,"February 5, 2013",57,5.6
3461,Rain In England,by Lil B,"September 21, 2010",40,5.6
3462,Woptober 2,by Gucci Mane,"October 18, 2019",76,5.6
3463,Hannicap Circus,by Bizarre,"June 28, 2005",44,5.5
3464,MEMORIES DON'T DIE,by Tory Lanez,"March 2, 2018",46,5.5
3465,Dying In Stereo,by Northern State,"June 3, 2003",77,5.5
3466,The Return of East Atlanta Santa,by Gucci Mane,"December 16, 2016",70,5.5
3467,Man Plans God Laughs,by Public Enemy,"July 24, 2015",70,5.5
3468,The Massacre,by 50 Cent,"March 3, 2005",66,5.4
3469,Finally Rich,by Chief Keef,"December 18, 2012",62,5.4
3470,Knock Madness,by Hopsin,"November 24, 2013",77,5.4
3471,Issa Album,by 21 Savage,"July 7, 2017",70,5.4
3472,Blacc Hollywood,by Wiz Khalifa,"August 19, 2014",54,5.4
3473,Underground Luxury,by B.o.B,"December 17, 2013",51,5.4
3474,Drip Or Drown 2,by Gunna,"February 22, 2019",76,5.4
3475,Heart Blanche,by Cee Lo Green,"November 13, 2015",57,5.4
3476,5.0,by Nelly,"November 16, 2010",52,5.4
3477,Lil Boat 3,by Lil Yachty,"May 29, 2020",59,5.4
3478,Wu Block,by Wu Block,"November 27, 2012",69,5.4
3479,Lil Boat 2,by Lil Yachty,"March 9, 2018",50,5.3
3480,Press Play,by Diddy,"October 17, 2006",62,5.3
